title_name,title_nutrient
Honey 유자,1병 (280ml)당 - 칼로리: 202kcal | 지방: 0.00g | 탄수화물: 50.00g | 단백질: 1.00g
오렌지 드링크,1팩 (190ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
알로에,1병 (300ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g
미콜,1캔 (250ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 0.00g
프리미어프로틴,1회 (325ml)당 - 칼로리: 170kcal | 지방: 3.00g | 탄수화물: 6.00g | 단백질: 30.00g
콜드 포도주스,100ml당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
화이트그레이프,1캔 (355ml)당 - 칼로리: 176kcal | 지방: 0.00g | 탄수화물: 44.00g | 단백질: 0.00g
데미소다 복숭아,1캔 (250ml)당 - 칼로리: 120kcal | 지방: 0.00g | 탄수화물: 30.00g | 단백질: 0.00g
스프라이트 (250ml),1캔 (250ml)당 - 칼로리: 112kcal | 지방: 0.00g | 탄수화물: 28.00g | 단백질: 0.00g
레몬 먹은 비타민,1컵 (200g)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g
슈웹스 그레이프 토닉,1병 (350ml)당 - 칼로리: 128kcal | 지방: 0.00g | 탄수화물: 32.00g | 단백질: 0.00g
파워오투 오렌지 레몬향,1인분 (500ml)당 - 칼로리: 89kcal | 지방: 0.00g | 탄수화물: 21.00g | 단백질: 0.00g
오렌지드링크 (240ml),1회 (240ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
루트 맥주,1 캔당 - 칼로리: 152kcal | 지방: 0.00g | 탄수화물: 39.22g | 단백질: 0.00g
하늘보리,1병 (500ml)당 - 칼로리: 59kcal | 지방: 0.00g | 탄수화물: 14.00g | 단백질: 0.00g
펀치 애플홀릭,1병 (400ml)당 - 칼로리: 192kcal | 지방: 0.00g | 탄수화물: 48.00g | 단백질: 0.00g
파워에이드 마운틴 블라스트 (240ml),1컵 (240ml)당 - 칼로리: 28kcal | 지방: 0.00g | 탄수화물: 7.00g | 단백질: 0.00g
데일리씨 망고400,1병 (140ml)당 - 칼로리: 64kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
자연은 90일 토마토,1페트 (340ml)당 - 칼로리: 150kcal | 지방: 1.10g | 탄수화물: 35.00g | 단백질: 1.00g
트레비 자몽,1병 (500ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
푸룬주스 (180ml),1병 (180ml)당 - 칼로리: 129kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 1.00g
다이어트 소다,1 캔당 - 칼로리: 4kcal | 지방: 0.07g | 탄수화물: 0.84g | 단백질: 0.39g
비락식혜 (238ml),1캔 (238ml)당 - 칼로리: 80kcal | 지방: 0.00g | 탄수화물: 19.00g | 단백질: 0.00g
토닉 워터,1 캔 또는 병 (350 ml)당 - 칼로리: 124kcal | 지방: 0.00g | 탄수화물: 32.21g | 단백질: 0.00g
깔라만시,100g당 - 칼로리: 30kcal | 지방: 0.00g | 탄수화물: 7.00g | 단백질: 0.00g
콜라 (200ml),1컵 (200ml)당 - 칼로리: 92kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g
트레비 라임,1회 (300ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
스카시 플러스 100,1컵 (200ml)당 - 칼로리: 110kcal | 지방: 0.00g | 탄수화물: 26.00g | 단백질: 1.00g
옥수수 수염차 (500ml),1병 (500ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
퓨어주스 포도100%,1인분 (190ml)당 - 칼로리: 90kcal | 지방: 0.00g | 탄수화물: 23.00g | 단백질: 0.00g
매실 플러스,1잔 (175ml)당 - 칼로리: 104kcal | 지방: 0.00g | 탄수화물: 26.00g | 단백질: 0.00g
100%퓨어쥬스사과,1팩 (190ml)당 - 칼로리: 95kcal | 지방: 0.00g | 탄수화물: 24.00g | 단백질: 0.00g
샤인 온 더 비치,1캔 (340ml)당 - 칼로리: 64kcal | 지방: 0.00g | 탄수화물: 16.00g | 단백질: 0.00g
파인애플 드링크,1팩 (190ml)당 - 칼로리: 60kcal | 지방: 0.00g | 탄수화물: 15.00g | 단백질: 0.00g
리얼에이드 자몽 in cafe,1병 (340ml)당 - 칼로리: 156kcal | 지방: 0.00g | 탄수화물: 39.00g | 단백질: 0.00g
맥콜 (250ml),1캔 (250ml)당 - 칼로리: 125kcal | 지방: 0.00g | 탄수화물: 31.00g | 단백질: 0.00g
피나콜라다,1회 (350ml)당 - 칼로리: 132kcal | 지방: 0.00g | 탄수화물: 33.00g | 단백질: 0.00g
소다수,1 캔 또는 병 (470 ml)당 - 칼로리: 0kcal | 지방: 0.00g | 탄수화물: 0.00g | 단백질: 0.00g
땡큐베리진생,1개 (420g)당 - 칼로리: 130kcal | 지방: 0.00g | 탄수화물: 32.00g | 단백질: 0.00g
훼미리 오렌지,1병 (180ml)당 - 칼로리: 65kcal | 지방: 0.00g | 탄수화물: 14.00g | 단백질: 1.00g
속풀어유,1회 (230ml)당 - 칼로리: 170kcal | 지방: 5.10g | 탄수화물: 27.00g | 단백질: 3.60g
